ID,Asset,File,Width,Height,Sharpness,Status
Sticker-Zen-0025,U3,Sticker-Zen-0025_U3_Grid.png,1024,1024,1764.48,ok
Sticker-Zen-0025,U4,Sticker-Zen-0025_U4_Grid.png,1024,1024,1744.71,ok
Sticker-Zen-0026,Cover,Cover_Mockup.png,1800,1800,1604.3,ok
Sticker-Zen-0026,Production,Production_Design.png,1664,1664,1748.2,ok
Sticker-Zen-0026,U1,Sticker-Zen-0026_U1_Grid.png,1024,1024,1297.98,ok
Sticker-Zen-0026,U2,Sticker-Zen-0026_U2_Grid.png,1024,1024,2197.19,ok
Sticker-Zen-0026,U3,Sticker-Zen-0026_U3_Grid.png,1024,1024,2118.43,ok
Sticker-Zen-0026,U4,Sticker-Zen-0026_U4_Grid.png,1024,1024,1589.22,ok
Sticker-Zen-0027,Cover,Cover_Mockup.png,1800,1800,2621.74,ok
Sticker-Zen-0027,Production,Production_Design.png,1664,1664,2916.16,ok
Sticker-Zen-0027,U1,Sticker-Zen-0027_U1_Grid.png,1024,1024,3398.55,ok
Sticker-Zen-0027,U2,Sticker-Zen-0027_U2_Grid.png,1024,1024,2324.93,ok
Sticker-Zen-0027,U3,Sticker-Zen-0027_U3_Grid.png,1024,1024,2501.81,ok
Sticker-Zen-0027,U4,Sticker-Zen-0027_U4_Grid.png,1024,1024,2628.34,ok
Sticker-Zen-0028,Cover,Cover_Mockup.png,1800,1800,259.76,ok
Sticker-Zen-0028,Production,Production_Design.png,1664,1664,176.43,ok
Sticker-Zen-0028,U1,Sticker-Zen-0028_U1_Grid.png,256,256,546.01,low_resolution
Sticker-Zen-0028,U2,Sticker-Zen-0028_U2_Grid.png,256,256,1002.08,low_resolution
Sticker-Zen-0028,U3,Sticker-Zen-0028_U3_Grid.png,256,256,125.43,low_resolution
Sticker-Zen-0028,U4,Sticker-Zen-0028_U4_Grid.png,256,256,53.49,soft_or_blurry
Sticker-Zen-0029,Cover,Cover_Mockup.png,1800,1800,1537.08,ok
Sticker-Zen-0029,Production,Production_Design.png,1664,1664,1573.21,ok
Sticker-Zen-0029,U1,Sticker-Zen-0029_U1_Grid.png,1024,1024,1820.34,ok
Sticker-Zen-0029,U2,Sticker-Zen-0029_U2_Grid.png,1024,1024,1718.21,ok
Sticker-Zen-0029,U3,Sticker-Zen-0029_U3_Grid.png,1024,1024,1305.55,ok
Sticker-Zen-0029,U4,Sticker-Zen-0029_U4_Grid.png,1024,1024,1722.01,ok
Sticker-Zen-0030,Cover,Cover_Mockup.png,1800,1800,197.89,ok
