ID,Product_Type,Status,Printify_Product_ID,eBay_Item_ID,Selected_Count,Expected_Count,Default_Count,Default_Indexes,Result,Error
Acrylic-Grimdark-0025,Acrylic,Printify_UI_Mockups8,69f883f3be136844f0003ff9,,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0026,Acrylic,Printify_UI_Mockups4,69f88472ffbc831dea086941,,4,4,1,0,OK,
Acrylic-Grimdark-0027,Acrylic,Printify_UI_Mockups4,69f884ed83a8608fd80f239c,,4,4,1,0,OK,
Acrylic-Grimdark-0028,Acrylic,Printify_UI_Mockups8,69f88562be136844f00040a3,,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0030,Acrylic,Printify_UI_Mockups4,69f886005da263f75f04fc9d,,4,4,1,0,OK,
Acrylic-Grimdark-0031,Acrylic,Printify_UI_Mockups4,69f88ee825819cdf3d057c87,,4,4,1,0,OK,
Acrylic-Grimdark-0032,Acrylic,Printify_UI_Mockups4,69f88fd4feed9979d10d0ce7,,4,4,1,0,OK,
Acrylic-Grimdark-0033,Acrylic,Printify_UI_Mockups4,69f8904bc1f268dee601c34f,,4,4,1,0,OK,
Acrylic-Grimdark-0034,Acrylic,Printify_UI_Mockups4,69f890b8c1f268dee601c394,,4,4,1,0,OK,
Acrylic-Grimdark-0035,Acrylic,Printify_UI_Mockups8,69f89116b051b8a0e90b9662,,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0036,Acrylic,Printify_UI_Mockups8,69f8918925819cdf3d057e2d,,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0037,Acrylic,Printify_UI_Mockups8,69f892035da263f75f05059e,,8,4,2,0|4,CHECK,
Acrylic-Grimdark-0038,Acrylic,Printify_UI_Mockups4,69f8928b25819cdf3d057ef7,,4,4,1,0,OK,
Acrylic-Grimdark-0039,Acrylic,Printify_UI_Mockups4,69f8931cb051b8a0e90b97c7,,4,4,1,0,OK,
