ID,Folder_Status,Reasons,Asset,Width,Height,Sharpness,Bytes
Sticker-Zen-0022,ok,,Production,1664,1664,2201.4,4203929
Sticker-Zen-0022,ok,,U1,1024,1024,3409.12,2087921
Sticker-Zen-0022,ok,,U2,1024,1024,4895.22,2126027
Sticker-Zen-0022,ok,,U3,1024,1024,1803.19,1298139
Sticker-Zen-0022,ok,,U4,1024,1024,1823.48,1164489
Sticker-Zen-0023,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,1118.19,1049637
Sticker-Zen-0023,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,651.68,1219206
Sticker-Zen-0023,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,199.95,55563
Sticker-Zen-0023,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,503.9,34975
Sticker-Zen-0023,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,25.22,54323
Sticker-Zen-0023,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,8.43,45977
Sticker-Zen-0024,ok,,Cover,1800,1800,3303.24,3788731
Sticker-Zen-0024,ok,,Production,1664,1664,3337.71,3320333
Sticker-Zen-0024,ok,,U1,1024,1024,2799.93,1208289
Sticker-Zen-0024,ok,,U2,1024,1024,3091.1,1010245
Sticker-Zen-0024,ok,,U3,1024,1024,3010.6,1234101
Sticker-Zen-0024,ok,,U4,1024,1024,3029.52,1399408
Sticker-Zen-0025,ok,,Cover,1800,1800,2619.42,2857608
Sticker-Zen-0025,ok,,Production,1664,1664,2575.53,2923856
Sticker-Zen-0025,ok,,U1,1024,1024,2262.6,894268
Sticker-Zen-0025,ok,,U2,1024,1024,1665.95,959373
Sticker-Zen-0025,ok,,U3,1024,1024,2224.85,901661
Sticker-Zen-0025,ok,,U4,1024,1024,2505.63,836402
Sticker-Zen-0026,ok,,Cover,1800,1800,2057.03,3282200
Sticker-Zen-0026,ok,,Production,1664,1664,2223.74,3443067
Sticker-Zen-0026,ok,,U1,1024,1024,1706.87,965586
Sticker-Zen-0026,ok,,U2,1024,1024,2968.29,996414
Sticker-Zen-0026,ok,,U3,1024,1024,3006.82,1322024
Sticker-Zen-0026,ok,,U4,1024,1024,1982.1,934166
Sticker-Zen-0027,ok,,Cover,1800,1800,3161.22,2873913
Sticker-Zen-0027,ok,,Production,1664,1664,3372.85,2775279
Sticker-Zen-0027,ok,,U1,1024,1024,4492.57,979133
Sticker-Zen-0027,ok,,U2,1024,1024,3393.45,868957
Sticker-Zen-0027,ok,,U3,1024,1024,3177.11,945968
Sticker-Zen-0027,ok,,U4,1024,1024,3411.16,861157
Sticker-Zen-0028,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,1118.19,1049637
Sticker-Zen-0028,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,651.68,1219206
Sticker-Zen-0028,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,199.95,55563
Sticker-Zen-0028,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,503.9,34975
Sticker-Zen-0028,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,25.22,54323
Sticker-Zen-0028,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,8.43,45977
Sticker-Zen-0029,ok,,Cover,1800,1800,2401.79,3009004
Sticker-Zen-0029,ok,,Production,1664,1664,2452.06,2610726
Sticker-Zen-0029,ok,,U1,1024,1024,2766.96,996204
Sticker-Zen-0029,ok,,U2,1024,1024,2669.04,782006
Sticker-Zen-0029,ok,,U3,1024,1024,1990.45,733147
Sticker-Zen-0029,ok,,U4,1024,1024,2105.11,1235691
Sticker-Zen-0030,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Cover,1800,1800,1051.77,1663974
Sticker-Zen-0030,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,Production,1664,1664,1028.58,1636104
Sticker-Zen-0030,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U1,256,256,657.11,72066
Sticker-Zen-0030,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U2,256,256,420.5,64773
Sticker-Zen-0030,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U3,256,256,645.24,57121
Sticker-Zen-0030,low_resolution_gallery,U1_lowres_256x256;U2_lowres_256x256;U3_lowres_256x256;U4_lowres_256x256,U4,256,256,609.93,64632
Sticker-Zen-0031,ok,,Cover,1800,1800,2041.35,3263370
Sticker-Zen-0031,ok,,Production,1664,1664,2336.3,2981796
Sticker-Zen-0031,ok,,U1,1024,1024,2893.47,1255981
Sticker-Zen-0031,ok,,U2,1024,1024,1699.6,928394
Sticker-Zen-0031,ok,,U3,1024,1024,2648.38,1010123
Sticker-Zen-0031,ok,,U4,1024,1024,2158.31,967319
Sticker-Zen-0032,ok,,Cover,1800,1800,3131.11,3847496
Sticker-Zen-0032,ok,,Production,1664,1664,3291.59,3538953
Sticker-Zen-0032,ok,,U1,1024,1024,4666.36,1451735
Sticker-Zen-0032,ok,,U2,1024,1024,2301.65,1056847
Sticker-Zen-0032,ok,,U3,1024,1024,3261.67,1387916
Sticker-Zen-0032,ok,,U4,1024,1024,3548.05,1274248
